,Model,Instance-wise Accuracy (No Logit),Class-wise Accuracy (No Logit),Instance-wise Accuracy (Logit Adjusted),Class-wise Accuracy (Logit Adjusted)
0,CDS,0.9222911442523426,0.41380668,0.9222911442523426,0.41380668
1,ResNet18,0.9427081958558796,0.5205258,0.9427081958558796,0.5205258
